symbol,total_records,high_volatility_count,high_volatility_ratio,avg_relative_ratio,avg_z_score,avg_confidence
SNDK,221,220,0.995475113122172,0.07179179257463503,0.7452843837044336,0.9240775096180154
COIN,1185,1179,0.9949367088607595,0.06700125064713701,0.7099489295092765,0.9296748186355362
688506,724,720,0.994475138121547,0.05799541217090508,0.7114230226783161,0.8866599972550928
688017,1296,1281,0.9884259259259259,0.060043485452156986,0.735037187024713,0.9194665422312537
688521,1294,1279,0.9884080370942813,0.05421321407798167,0.6320686316847648,0.8671411902105692
CVNA,1507,1485,0.9854014598540146,0.07810057458218764,0.7656063175906572,0.891442748935765
688608,1224,1206,0.9852941176470589,0.052746722816352176,0.7375519168401774,0.8810867733008402
APP,1184,1166,0.9847972972972973,0.05597543147207696,0.6935245646855845,0.8640970227347426
MRNA,1507,1483,0.9840743198407432,0.05828940522627546,0.6587414994515377,0.8758579416045221
HOOD,1111,1093,0.9837983798379838,0.055565210096295545,0.6654074586800021,0.8607482108712631
300394,1699,1668,0.9817539729252501,0.05458271806183828,0.6836038206654341,0.8626660831271709
688390,1291,1266,0.9806351665375678,0.06177867670217567,0.7637360067270167,0.9215604428086913
300502,1699,1663,0.9788110653325486,0.053834395381782967,0.5422663723578112,0.8523604257757033
PLTR,1319,1291,0.9787717968157695,0.053651955780242774,0.7074513164937885,0.8568353215420582
688072,900,880,0.9777777777777777,0.05596633921627756,0.7192587025820649,0.8978233062753823
688213,881,858,0.9738933030646992,0.05296021877802742,0.7269282820536845,0.8850059328197913
300757,1675,1631,0.9737313432835821,0.057136713123549406,0.6529807579957918,0.8755494248024874
300395,1699,1651,0.9717480871100648,0.04828607789668026,0.6908947381466636,0.845783918758827
300604,1688,1635,0.9686018957345972,0.05294875415664948,0.7062959399307075,0.8752911822523214
688111,1487,1437,0.9663752521856086,0.05172794064345519,0.7399486949673371,0.871401248167109
002384,1699,1641,0.9658622719246616,0.04696188580738545,0.6422605754617053,0.8207503540429996
688002,1566,1512,0.9655172413793104,0.04650011314658894,0.6878031933280566,0.8105306940417355
688063,1214,1172,0.9654036243822076,0.0531713518103693,0.7051478380445529,0.8452207507328751
601689,1699,1640,0.9652736904061212,0.04891025161963767,0.7654918069259306,0.8673276266592975
300567,1699,1637,0.9635079458505003,0.047567806521505565,0.7249998414230405,0.8478345689445242
FSLR,1507,1449,0.9615129396151294,0.04435199647446056,0.7247623584149109,0.8092182363032159
300724,1699,1631,0.9599764567392584,0.05081451969458267,0.7239190466606836,0.8504124159124449
688166,1493,1433,0.9598124581379772,0.04981003511941827,0.6239996145696146,0.820055264498785
300751,1699,1630,0.9593878752207181,0.049216692970151486,0.7419118710996038,0.8297390259995124
688256,1325,1270,0.9584905660377359,0.05592053851844578,0.6429556763300963,0.8343684951616119
300476,1699,1628,0.9582107121836374,0.04913910439107476,0.49720496082014903,0.7892467530181428
300438,1695,1624,0.9581120943952802,0.052308343335452,0.7098945038509821,0.8409060188954202
300347,1699,1627,0.9576221306650972,0.044489696373471575,0.729257704019867,0.8097943042773469
688169,1425,1364,0.9571929824561404,0.047087294537305424,0.718565010137457,0.8177512252720497
688036,1517,1452,0.9571522742254449,0.05047520992642875,0.69792145529799,0.8397572535280399
300274,1699,1625,0.9564449676280165,0.04989105880430807,0.7483586999015719,0.8245563156099074
300118,1699,1625,0.9564449676280165,0.049749383598006555,0.7420245943939704,0.8364720843177291
TSLA,1507,1441,0.9562043795620438,0.04796909557076445,0.7387496660672699,0.8356747254638026
688005,1565,1496,0.9559105431309904,0.05321777517593231,0.732193636893297,0.8354796424017136
603129,1699,1621,0.9540906415538553,0.04690080042336038,0.7758051996627221,0.8449760371513323
300661,1689,1611,0.9538188277087034,0.048515154588554335,0.7600909597275899,0.8241600450228106
688099,1553,1480,0.952994204764971,0.04816508806027964,0.7217314498135251,0.8491591870433639
002920,1699,1619,0.9529134785167745,0.046948398736017916,0.765504647223282,0.8423286700349303
300014,1699,1617,0.951736315479694,0.04708129758601361,0.7589433177071324,0.8345504209105762
300308,1699,1617,0.951736315479694,0.04672575715598658,0.5768916586747753,0.7683021912285072
300454,1699,1616,0.9511477339611536,0.04525507083131454,0.7235129741984581,0.7993978211526072
002436,1699,1613,0.9493819894055326,0.046251675737258434,0.7261931222109449,0.8295229684036237
002517,1699,1612,0.9487934078869924,0.04651813085700536,0.7176453984228788,0.7977327178509722
ALB,1507,1429,0.9482415394824154,0.04183575492908131,0.7534025551683615,0.7734870687903923
688617,1209,1146,0.9478908188585607,0.04653902430181002,0.7037903329598308,0.8155397964432427
688599,1351,1280,0.9474463360473723,0.04904073580935822,0.7623785158660425,0.8096663874524785
300496,1699,1608,0.9464390818128311,0.045538724219196684,0.7546588235772361,0.817013549923491
688012,1557,1472,0.945407835581246,0.04922431275786931,0.6795558209607597,0.8014467875799647
688008,1566,1480,0.9450830140485313,0.04465993154446042,0.6568383718994525,0.7795940238157232
300759,1681,1588,0.9446757882212968,0.04631935832888287,0.7211580574684846,0.7980357845555118
300573,1699,1604,0.9440847557386698,0.05194015681915581,0.7160689571656036,0.8638957580731611
603986,1698,1603,0.9440518256772674,0.04566867343550923,0.6907327596455738,0.8004698875438911
XYZ,1507,1422,0.9435965494359655,0.04620128809556745,0.7601892552059182,0.7920110526065346
300803,1487,1403,0.9435104236718225,0.05098317804053585,0.6295486845497463,0.807596141220541
300037,1699,1602,0.9429075927015892,0.04481812643398599,0.6791435560770251,0.780505839328837
688120,869,819,0.9424626006904487,0.04629524268680193,0.7253141000965636,0.8193870909620132
